11/14/2014 9:21:20 AM New Instance of BeckmanFileHandler! Started: 
11/14/2014 9:21:20 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
11/14/2014 9:21:20 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\
11/14/2014 12:55:20 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00029.xls, 1 move attempts required.
11/14/2014 1:02:36 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00030.xls, 2 move attempts required.
11/14/2014 1:09:56 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00031.xls, 1 move attempts required.
11/14/2014 1:17:16 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00032.xls, 2 move attempts required.
11/14/2014 1:24:36 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00033.xls, 2 move attempts required.
11/14/2014 1:32:10 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00034.xls, 2 move attempts required.
11/14/2014 1:39:45 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00035.xls, 1 move attempts required.
11/14/2014 1:47:01 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00036.xls, 1 move attempts required.
11/14/2014 1:54:27 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00037.xls, 2 move attempts required.
11/14/2014 2:02:04 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00038.xls, 2 move attempts required.
11/14/2014 2:09:29 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00039.xls, 2 move attempts required.
11/14/2014 2:16:45 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00040.xls, 1 move attempts required.
11/14/2014 2:24:08 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00041.xls, 1 move attempts required.
11/14/2014 2:31:25 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00042.xls, 2 move attempts required.
11/14/2014 2:38:42 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00043.xls, 2 move attempts required.
11/14/2014 2:45:48 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00044.xls, 1 move attempts required.
11/14/2014 2:53:03 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00045.xls, 1 move attempts required.
11/14/2014 3:00:23 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00046.xls, 2 move attempts required.
11/14/2014 3:07:42 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00047.xls, 1 move attempts required.
11/14/2014 3:15:08 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00048.xls, 2 move attempts required.
11/14/2014 3:22:26 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00049.xls, 2 move attempts required.
11/14/2014 3:29:44 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00050.xls, 1 move attempts required.
11/14/2014 3:36:52 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00051.xls, 1 move attempts required.
11/14/2014 3:44:09 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00052.xls, 1 move attempts required.
11/14/2014 3:51:46 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00053.xls, 2 move attempts required.
