10/10/2014 11:13:13 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:13:13 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\NSRL Data\USER04\
10/10/2014 11:13:13 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 11:24:22 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:24:22 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\NSRL Data\USER04\
10/10/2014 11:24:22 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 11:25:10 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:25:10 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/10/2014 11:25:10 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 2:33:40 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00027.xls, 2 move attempts required.
10/10/2014 2:41:06 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00028.xls, 1 move attempts required.
10/10/2014 2:48:41 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00029.xls, 2 move attempts required.
10/10/2014 2:56:15 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00030.xls, 2 move attempts required.
10/10/2014 3:03:48 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00031.xls, 2 move attempts required.
10/10/2014 3:11:21 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00032.xls, 1 move attempts required.
10/10/2014 3:18:54 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00033.xls, 1 move attempts required.
10/10/2014 3:26:28 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00034.xls, 1 move attempts required.
10/10/2014 3:34:03 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00035.xls, 2 move attempts required.
10/10/2014 3:41:27 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00036.xls, 2 move attempts required.
10/10/2014 3:48:48 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00037.xls, 1 move attempts required.
10/10/2014 3:56:05 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00038.xls, 2 move attempts required.
10/10/2014 4:03:21 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00039.xls, 2 move attempts required.
