Start Time:	10/24/2014 3:33:48 PM
Units:	Deg C
Thermocouple:	J
Device:	019811EA
Logging Interval:	1 second(s)
Description:	Warmed water to 66deg C using heating mantle, returned to room temp at 3:33:00 PM. Measured with no lid and thermocouple in,


Time	Temp
3:33:49 PM	44.1
3:33:50 PM	44.1
3:33:51 PM	44.0
3:33:52 PM	44.0
3:33:53 PM	44.0
3:33:54 PM	43.9
3:33:55 PM	43.9
3:33:56 PM	43.8
3:33:57 PM	43.8
3:33:58 PM	43.7
3:33:59 PM	43.7
3:34:00 PM	43.7
3:34:01 PM	43.6
3:34:02 PM	43.6
3:34:03 PM	43.5
3:34:04 PM	43.5
3:34:05 PM	43.4
3:34:06 PM	43.4
3:34:07 PM	43.4
3:34:08 PM	43.3
3:34:09 PM	43.3
3:34:10 PM	43.2
3:34:11 PM	43.2
3:34:12 PM	43.1
3:34:13 PM	43.1
3:34:14 PM	43.1
3:34:15 PM	43.0
3:34:16 PM	43.0
3:34:17 PM	42.9
3:34:18 PM	42.9
3:34:19 PM	42.9
3:34:20 PM	42.8
3:34:21 PM	42.8
3:34:22 PM	42.7
3:34:23 PM	42.7
3:34:24 PM	42.7
3:34:25 PM	42.6
3:34:26 PM	42.6
3:34:27 PM	42.6
3:34:28 PM	42.5
3:34:29 PM	42.5
3:34:30 PM	42.4
3:34:31 PM	42.4
3:34:32 PM	42.4
3:34:33 PM	42.3
3:34:34 PM	42.3
3:34:35 PM	42.3
3:34:36 PM	42.2
3:34:37 PM	42.2
3:34:38 PM	42.2
3:34:39 PM	42.1
3:34:40 PM	42.1
3:34:41 PM	42.1
3:34:42 PM	42.0
3:34:43 PM	42.0
3:34:44 PM	41.9
3:34:45 PM	41.9
3:34:46 PM	41.9
3:34:47 PM	41.8
3:34:48 PM	41.8
3:34:49 PM	41.8
3:34:50 PM	41.8
3:34:51 PM	41.7
3:34:52 PM	41.7
3:34:53 PM	41.7
3:34:54 PM	41.6
3:34:55 PM	41.6
3:34:56 PM	41.6
3:34:57 PM	41.6
3:34:58 PM	41.5
3:34:59 PM	41.5
3:35:00 PM	41.5
3:35:02 PM	41.5
3:35:03 PM	41.4
3:35:04 PM	41.4
3:35:05 PM	41.4
3:35:06 PM	41.3
3:35:07 PM	41.3
3:35:08 PM	41.3
3:35:09 PM	41.3
3:35:10 PM	41.2
3:35:11 PM	41.2
3:35:12 PM	41.2
3:35:13 PM	41.2
3:35:14 PM	41.1
3:35:15 PM	41.1
3:35:16 PM	41.1
3:35:17 PM	41.0
3:35:18 PM	41.0
3:35:19 PM	41.0
3:35:20 PM	41.0
3:35:21 PM	40.9
3:35:22 PM	40.9
3:35:23 PM	40.9
3:35:24 PM	40.9
3:35:25 PM	40.8
3:35:26 PM	40.8
3:35:27 PM	40.8
3:35:28 PM	40.8
3:35:29 PM	40.7
3:35:30 PM	40.7
3:35:31 PM	40.7
3:35:32 PM	40.7
3:35:33 PM	40.6
3:35:34 PM	40.6
3:35:35 PM	40.6
3:35:36 PM	40.6
3:35:37 PM	40.5
3:35:38 PM	40.5
3:35:39 PM	40.5
3:35:40 PM	40.5
3:35:41 PM	40.4
3:35:42 PM	40.4
3:35:43 PM	40.4
3:35:44 PM	40.4
3:35:45 PM	40.3
3:35:46 PM	40.3
3:35:47 PM	40.3
3:35:48 PM	40.3
3:35:49 PM	40.2
3:35:50 PM	40.2
3:35:51 PM	40.2
3:35:52 PM	40.2
3:35:53 PM	40.1
3:35:54 PM	40.1
3:35:55 PM	40.1
3:35:56 PM	40.1
3:35:57 PM	40.0
3:35:58 PM	40.0
3:35:59 PM	40.0
3:36:00 PM	40.0
3:36:01 PM	39.9
3:36:02 PM	39.9
3:36:03 PM	39.9
3:36:04 PM	39.9
3:36:05 PM	39.8
3:36:06 PM	39.8
3:36:07 PM	39.8
3:36:08 PM	39.8
3:36:09 PM	39.8
3:36:10 PM	39.7
3:36:11 PM	39.7
3:36:12 PM	39.7
3:36:14 PM	39.7
3:36:15 PM	39.6
3:36:16 PM	39.6
3:36:17 PM	39.6
3:36:18 PM	39.6
3:36:19 PM	39.5
3:36:20 PM	39.5
3:36:21 PM	39.5
3:36:22 PM	39.5
3:36:23 PM	39.5
3:36:24 PM	39.4
3:36:25 PM	39.4
3:36:26 PM	39.4
3:36:27 PM	39.4
3:36:28 PM	39.3
3:36:29 PM	39.3
3:36:30 PM	39.3
3:36:31 PM	39.3
3:36:32 PM	39.2
3:36:33 PM	39.2
3:36:34 PM	39.2
3:36:35 PM	39.2
3:36:36 PM	39.2
3:36:37 PM	39.1
3:36:38 PM	39.1
3:36:39 PM	39.1
3:36:40 PM	39.1
3:36:41 PM	39.0
3:36:42 PM	39.0
3:36:43 PM	39.0
3:36:44 PM	39.0
3:36:45 PM	39.0
3:36:46 PM	38.9
3:36:47 PM	38.9
3:36:48 PM	38.9
3:36:49 PM	38.9
3:36:50 PM	38.9
3:36:51 PM	38.8
3:36:52 PM	38.8
3:36:53 PM	38.8
3:36:54 PM	38.8
3:36:55 PM	38.7
3:36:56 PM	38.7
3:36:57 PM	38.7
3:36:58 PM	38.7
3:36:59 PM	38.7
3:37:00 PM	38.6
3:37:01 PM	38.6
3:37:02 PM	38.6
3:37:03 PM	38.6
3:37:04 PM	38.6
3:37:05 PM	38.5
3:37:06 PM	38.5
3:37:07 PM	38.5
3:37:08 PM	38.5
3:37:09 PM	38.4
3:37:10 PM	38.4
3:37:11 PM	38.4
3:37:12 PM	38.4
3:37:13 PM	38.4
3:37:14 PM	38.4
3:37:15 PM	38.3
3:37:16 PM	38.3
3:37:17 PM	38.3
3:37:18 PM	38.3
3:37:19 PM	38.3
3:37:20 PM	38.2
3:37:21 PM	38.2
3:37:22 PM	38.2
3:37:23 PM	38.2
3:37:24 PM	38.1
3:37:26 PM	38.1
3:37:27 PM	38.1
3:37:28 PM	38.1
3:37:29 PM	38.0
3:37:30 PM	38.0
3:37:31 PM	38.0
3:37:32 PM	37.9
3:37:33 PM	38.0
3:37:34 PM	38.0
3:37:35 PM	38.0
3:37:36 PM	37.9
3:37:37 PM	37.9
3:37:38 PM	37.8
3:37:39 PM	37.8
3:37:40 PM	37.8
3:37:41 PM	37.8
3:37:42 PM	37.8
3:37:43 PM	37.7
3:37:44 PM	37.7
3:37:45 PM	37.7
3:37:46 PM	37.7
3:37:47 PM	37.7
3:37:48 PM	37.6
3:37:49 PM	37.6
3:37:50 PM	37.6
3:37:51 PM	37.6
3:37:52 PM	37.6
3:37:53 PM	37.5
3:37:54 PM	37.5
3:37:55 PM	37.5
3:37:56 PM	37.5
3:37:57 PM	37.5
3:37:58 PM	37.4
