Instrument Type				LS 6000							
Data Capture Date				10 Nov 2014 16:37:38							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD49931.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	48.0000	142139.80	142139.80	142139.80	0.24	142139.80	0.24	0.02	5.72
2	**-2	5.00	12.4300	79726.00	79726.00	79726.00	0.32	79726.00	0.32	0.00	13.37
4	**-4	5.00	12.5300	84124.20	84124.20	84124.20	0.31	84124.20	0.31	0.00	20.64
6	**-6	5.00	12.5900	81176.40	81176.40	81176.40	0.31	81176.40	0.31	0.00	27.94
8	**-8	5.00	12.5100	81335.60	81335.60	81335.60	0.31	81335.60	0.31	0.00	35.23
10	**-10	5.00	18.1800	89931.80	89931.80	89931.80	0.30	89931.80	0.30	0.00	42.54
12	**-12	5.00	18.2100	87993.40	87993.40	87993.40	0.30	87993.40	0.30	0.00	49.82
14	**-2	5.00	114.1000	232657.20	232657.20	232657.20	0.19	232657.20	0.19	0.00	57.61
15	**-3	5.00	18.7600	87951.60	87951.60	87951.60	0.30	87951.60	0.30	0.00	65.30
17	**-5	5.00	18.8000	84211.40	84211.40	84211.40	0.31	84211.40	0.31	0.00	72.61
19	**-7	5.00	23.1800	91015.60	91015.60	91015.60	0.30	91015.60	0.30	0.00	79.94
21	**-9	5.00	23.1800	91019.60	91019.60	91019.60	0.30	91019.60	0.30	0.00	87.27
23	**-11	5.00	23.5400	91787.20	91787.20	91787.20	0.30	91787.20	0.30	0.00	94.59
25	**-1	5.00	23.3000	94342.20	94342.20	94342.20	0.29	94342.20	0.29	0.00	102.03
27	**-3	5.00	4.3230	8834.40	8834.40	8834.40	0.95	8834.40	0.95	0.00	109.18
28	**-4	5.00	177.3000	96484.60	96484.60	96484.60	0.29	96484.60	0.29	0.00	116.43
30	**-6	5.00	173.5000	99228.40	99228.40	99228.40	0.28	99228.40	0.28	0.00	124.03
32	**-8	5.00	168.2000	97118.80	97118.80	97118.80	0.29	97118.80	0.29	0.00	131.64
34	**-10	5.00	178.1000	95693.00	95693.00	95693.00	0.29	95693.00	0.29	0.00	139.24
36	**-12	5.00	12.7100	80470.20	80470.20	80470.20	0.32	80470.20	0.32	0.00	146.82
38	**-2	5.00	12.7800	81698.60	81698.60	81698.60	0.31	81698.60	0.31	0.00	154.22
40	**-4	5.00	4.2500	8924.60	8924.60	8924.60	0.95	8924.60	0.95	0.00	161.36
41	**-5	5.00	12.7100	80837.20	80837.20	80837.20	0.31	80837.20	0.31	0.00	168.59
43	**-7	5.00	12.7800	79727.40	79727.40	79727.40	0.32	79727.40	0.32	0.00	175.87
45	**-9	5.00	18.5300	87933.20	87933.20	87933.20	0.30	87933.20	0.30	0.00	183.17
47	**-11	5.00	18.7300	89950.60	89950.60	89950.60	0.30	89950.60	0.30	0.00	190.47
49	**-1	5.00	18.7600	90211.40	90211.40	90211.40	0.30	90211.40	0.30	0.00	197.90
51	**-3	5.00	18.7300	87491.00	87491.00	87491.00	0.30	87491.00	0.30	0.00	205.22
53	**-5	5.00	4.2400	8690.80	8690.80	8690.80	0.96	8690.80	0.96	0.00	212.38
54	**-6	5.00	23.3300	89689.00	89689.00	89689.00	0.30	89689.00	0.30	0.00	219.62
56	**-8	5.00	23.2200	85817.00	85817.00	85817.00	0.31	85817.00	0.31	0.00	226.93
58	**-10	5.00	23.2900	92199.40	92199.40	92199.40	0.29	92199.40	0.29	0.00	234.26
60	**-12	5.00	23.2100	93686.20	93686.20	93686.20	0.29	93686.20	0.29	0.00	241.61
62	**-2	5.00	177.9000	96717.80	96717.80	96717.80	0.29	96717.80	0.29	0.00	249.06
64	**-4	5.00	164.7000	98691.00	98691.00	98691.00	0.28	98691.00	0.28	0.00	256.65
66	**-6	5.00	4.2330	8476.00	8476.00	8476.00	0.97	8476.00	0.97	0.00	264.16
67	**-7	5.00	171.2000	95571.20	95571.20	95571.20	0.29	95571.20	0.29	0.00	271.39
69	**-9	5.00	178.7000	94149.00	94149.00	94149.00	0.29	94149.00	0.29	0.00	278.99
71	**-11	5.00	12.6500	78393.80	78393.80	78393.80	0.32	78393.80	0.32	0.00	286.58
72	**-12	5.00	12.7400	81632.80	81632.80	81632.80	0.31	81632.80	0.31	0.00	293.89
73	**-1	5.00	12.6400	79699.60	79699.60	79699.60	0.32	79699.60	0.32	0.00	301.28
75	**-3	5.00	12.7100	79634.20	79634.20	79634.20	0.32	79634.20	0.32	0.00	308.59
77	**-5	5.00	12.9100	77029.60	77029.60	77029.60	0.32	77029.60	0.32	0.00	315.86
79	**-7	5.00	4.2360	8403.80	8403.80	8403.80	0.98	8403.80	0.98	0.00	323.03
80	**-8	5.00	12.7500	75402.80	75402.80	75402.80	0.33	75402.80	0.33	0.00	330.24
82	**-10	5.00	18.5400	88812.80	88812.80	88812.80	0.30	88812.80	0.30	0.00	337.55
84	**-12	5.00	18.6000	90040.40	90040.40	90040.40	0.30	90040.40	0.30	0.00	344.85
86	**-2	5.00	18.6100	89259.80	89259.80	89259.80	0.30	89259.80	0.30	0.00	352.30
88	**-4	5.00	18.9900	87633.00	87633.00	87633.00	0.30	87633.00	0.30	0.00	359.62
90	**-6	5.00	23.1500	86497.60	86497.60	86497.60	0.30	86497.60	0.30	0.00	366.93
92	**-8	5.00	4.2360	8723.00	8723.00	8723.00	0.96	8723.00	0.96	0.00	374.11
93	**-9	5.00	22.9200	91090.60	91090.60	91090.60	0.30	91090.60	0.30	0.00	381.34
99	**-3	5.00	175.7000	90188.80	90188.80	90188.80	0.30	90188.80	0.30	0.00	388.81
101	**-5	5.00	175.0000	93444.40	93444.40	93444.40	0.29	93444.40	0.29	0.00	396.40
105	**-9	5.00	4.2600	9087.40	9087.40	9087.40	0.94	9087.40	0.94	0.00	403.88
108	**-12	5.00	12.6600	79161.40	79161.40	79161.40	0.32	79161.40	0.32	0.00	411.13
110	**-2	5.00	12.6800	80869.60	80869.60	80869.60	0.31	80869.60	0.31	0.00	418.50
112	**-4	5.00	12.7300	80706.00	80706.00	80706.00	0.31	80706.00	0.31	0.00	425.79
114	**-6	5.00	12.7700	80961.80	80961.80	80961.80	0.31	80961.80	0.31	0.00	433.05
116	**-8	5.00	18.3800	88457.40	88457.40	88457.40	0.30	88457.40	0.30	0.00	440.37
118	**-10	5.00	4.2430	9289.00	9289.00	9289.00	0.93	9289.00	0.93	0.00	447.51
119	**-11	5.00	18.5000	91209.20	91209.20	91209.20	0.30	91209.20	0.30	0.00	454.76
121	**-1	5.00	18.5300	86799.40	86799.40	86799.40	0.30	86799.40	0.30	0.00	462.18
123	**-3	5.00	18.5200	83218.80	83218.80	83218.80	0.31	83218.80	0.31	0.00	469.49
125	**-5	5.00	22.8700	89275.40	89275.40	89275.40	0.30	89275.40	0.30	0.00	476.79
127	**-7	5.00	22.9700	91668.20	91668.20	91668.20	0.30	91668.20	0.30	0.00	484.12
131	**-11	5.00	4.2060	8982.40	8982.40	8982.40	0.94	8982.40	0.94	0.00	491.33
134	**-2	5.00	175.6000	95256.60	95256.60	95256.60	0.29	95256.60	0.29	0.00	498.69
136	**-4	5.00	173.5000	93189.40	93189.40	93189.40	0.29	93189.40	0.29	0.00	506.30
142	**-10	5.00	12.5300	82298.80	82298.80	82298.80	0.31	82298.80	0.31	0.00	513.94
144	**-12	5.00	4.2170	8969.00	8969.00	8969.00	0.94	8969.00	0.94	0.00	521.10
