10/22/2014 5:51:43 PM New Instance of BeckmanFileHandler! Started: 
10/22/2014 5:51:43 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/22/2014 5:51:43 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\
10/22/2014 9:33:42 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00030.xls, 2 move attempts required.
10/22/2014 9:41:04 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00031.xls, 2 move attempts required.
10/22/2014 9:48:29 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00032.xls, 2 move attempts required.
10/22/2014 9:55:53 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00033.xls, 1 move attempts required.
10/22/2014 10:03:24 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00034.xls, 2 move attempts required.
10/22/2014 10:10:47 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00035.xls, 2 move attempts required.
10/22/2014 10:18:11 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00036.xls, 1 move attempts required.
10/22/2014 10:25:23 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00037.xls, 1 move attempts required.
10/22/2014 10:32:47 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00038.xls, 2 move attempts required.
10/22/2014 10:40:11 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00039.xls, 2 move attempts required.
