Instrument Type				LS 6000							
Data Capture Date				24 Oct 2014 17:49:51							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADA1177.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	31.2700	139742.20	139742.20	139742.20	0.24	139742.20	0.24	0.04	5.98
2	**-2	5.00	12.1100	79150.20	79150.20	79150.20	0.32	79150.20	0.32	0.00	13.72
3	**-3	5.00	11.2800	74285.00	74285.00	74285.00	0.33	74285.00	0.33	0.00	21.06
4	**-4	5.00	12.1700	77812.40	77812.40	77812.40	0.32	77812.40	0.32	0.00	28.38
5	**-5	5.00	11.0700	75333.20	75333.20	75333.20	0.33	75333.20	0.33	0.00	35.71
6	**-6	5.00	12.1700	78345.40	78345.40	78345.40	0.32	78345.40	0.32	0.00	43.07
7	**-7	5.00	11.3500	76607.60	76607.60	76607.60	0.32	76607.60	0.32	0.00	50.41
8	**-8	5.00	12.1900	79647.20	79647.20	79647.20	0.32	79647.20	0.32	0.00	57.74
9	**-9	5.00	11.3500	77752.00	77752.00	77752.00	0.32	77752.00	0.32	0.00	65.08
10	**-10	5.00	17.8900	87570.20	87570.20	87570.20	0.30	87570.20	0.30	0.00	72.47
11	**-11	5.00	16.8000	84375.00	84375.00	84375.00	0.31	84375.00	0.31	0.00	79.86
12	**-12	5.00	17.8800	86248.40	86248.40	86248.40	0.30	86248.40	0.30	0.00	87.21
13	**-1	5.00	16.5900	85065.60	85065.60	85065.60	0.31	85065.60	0.31	0.00	94.89
14	**-2	5.00	112.0000	232695.59	232695.59	232695.59	0.19	232695.59	0.19	0.03	102.66
15	**-3	5.00	17.9300	83034.00	83034.00	83034.00	0.31	83034.00	0.31	0.00	110.44
16	**-4	5.00	16.5500	84355.60	84355.60	84355.60	0.31	84355.60	0.31	0.00	117.81
17	**-5	5.00	18.0500	88118.00	88118.00	88118.00	0.30	88118.00	0.30	0.00	125.18
18	**-6	5.00	16.7100	87069.80	87069.80	87069.80	0.30	87069.80	0.30	0.00	132.58
19	**-7	5.00	22.4700	92358.00	92358.00	92358.00	0.29	92358.00	0.29	0.00	139.96
20	**-8	5.00	20.7700	89945.80	89945.80	89945.80	0.30	89945.80	0.30	0.00	147.38
21	**-9	5.00	22.3700	91451.00	91451.00	91451.00	0.30	91451.00	0.30	0.00	154.77
22	**-10	5.00	20.4900	87573.80	87573.80	87573.80	0.30	87573.80	0.30	0.00	162.16
23	**-11	5.00	22.5000	91090.40	91090.40	91090.40	0.30	91090.40	0.30	0.00	169.57
24	**-12	5.00	20.7100	89295.40	89295.40	89295.40	0.30	89295.40	0.30	0.00	176.95
25	**-1	5.00	22.6100	92742.60	92742.60	92742.60	0.29	92742.60	0.29	0.00	184.42
26	**-2	5.00	20.5100	89660.40	89660.40	89660.40	0.30	89660.40	0.30	0.00	191.83
27	**-3	5.00	4.1870	8751.20	8751.20	8751.20	0.96	8751.20	0.96	0.08	199.08
28	**-4	5.00	173.4000	94375.00	94375.00	94375.00	0.29	94375.00	0.29	0.00	206.42
29	**-5	5.00	105.6000	89427.80	89427.80	89427.80	0.30	89427.80	0.30	0.00	214.08
