Instrument Type				LS 6000							
Data Capture Date				25 Oct 2014 17:36:44							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD10708.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	37.5800	139216.41	139216.41	139216.41	0.24	139216.41	0.24	0.04	5.80
2	**-2	5.00	12.1200	80373.80	80373.80	80373.80	0.32	80373.80	0.32	0.00	13.57
3	**-3	5.00	11.1500	75590.20	75590.20	75590.20	0.33	75590.20	0.33	0.00	20.91
4	**-4	5.00	12.2000	75880.00	75880.00	75880.00	0.32	75880.00	0.32	0.00	28.23
5	**-5	5.00	10.9900	75072.20	75072.20	75072.20	0.33	75072.20	0.33	0.00	35.58
6	**-6	5.00	12.1700	79265.20	79265.20	79265.20	0.32	79265.20	0.32	0.00	42.92
7	**-7	5.00	11.2500	76945.00	76945.00	76945.00	0.32	76945.00	0.32	0.00	50.28
8	**-8	5.00	12.1800	80154.60	80154.60	80154.60	0.32	80154.60	0.32	0.00	57.62
9	**-9	5.00	11.2700	75328.20	75328.20	75328.20	0.33	75328.20	0.33	0.00	64.98
10	**-10	5.00	17.8900	87733.20	87733.20	87733.20	0.30	87733.20	0.30	0.00	72.35
11	**-11	5.00	16.5800	84184.60	84184.60	84184.60	0.31	84184.60	0.31	0.00	79.71
12	**-12	5.00	17.8100	87004.80	87004.80	87004.80	0.30	87004.80	0.30	0.00	87.08
13	**-1	5.00	16.3500	84469.20	84469.20	84469.20	0.31	84469.20	0.31	0.00	94.57
14	**-2	5.00	110.4000	232996.41	232996.41	232996.41	0.19	232996.41	0.19	0.03	102.31
15	**-3	5.00	17.9600	87076.20	87076.20	87076.20	0.30	87076.20	0.30	0.00	110.13
16	**-4	5.00	16.2900	86243.20	86243.20	86243.20	0.30	86243.20	0.30	0.00	117.53
17	**-5	5.00	18.0100	88070.40	88070.40	88070.40	0.30	88070.40	0.30	0.00	124.92
18	**-6	5.00	16.4200	85019.00	85019.00	85019.00	0.31	85019.00	0.31	0.00	132.31
19	**-7	5.00	22.3900	92418.80	92418.80	92418.80	0.29	92418.80	0.29	0.00	139.70
20	**-8	5.00	20.4200	89573.20	89573.20	89573.20	0.30	89573.20	0.30	0.00	147.08
21	**-9	5.00	22.3000	92200.60	92200.60	92200.60	0.29	92200.60	0.29	0.00	154.51
22	**-10	5.00	20.2200	87853.40	87853.40	87853.40	0.30	87853.40	0.30	0.00	161.95
23	**-11	5.00	22.4200	90335.80	90335.80	90335.80	0.30	90335.80	0.30	0.00	169.35
24	**-12	5.00	20.3800	83508.60	83508.60	83508.60	0.31	83508.60	0.31	0.00	176.75
25	**-1	5.00	22.6100	92683.40	92683.40	92683.40	0.29	92683.40	0.29	0.00	184.26
26	**-2	5.00	20.1200	88253.20	88253.20	88253.20	0.30	88253.20	0.30	0.00	191.66
27	**-3	5.00	4.1550	9135.60	9135.60	9135.60	0.94	9135.60	0.94	0.08	198.90
28	**-4	5.00	173.3000	94041.60	94041.60	94041.60	0.29	94041.60	0.29	0.00	206.22
29	**-5	5.00	101.8000	88639.20	88639.20	88639.20	0.30	88639.20	0.30	0.00	213.90
